start,end,loglik,events
5038.046,5098.046,-81.042309,142
5098.046,5158.046,-47.105187,115
5158.046,5218.046,50.134772,170
5218.046,5278.046,17.899338,125
5278.046,5338.046,-52.224515,137
5338.046,5398.046,-23.875528,123
5398.046,5458.046,85.888467,163
5458.046,5518.046,134.119959,166
5518.046,5578.046,125.848067,186
5578.046,5638.046,-26.657415,115
5638.046,5698.046,-87.391868,97
5698.046,5758.046,-54.069143,102
5758.046,5818.046,-43.406022,120
5818.046,5878.046,15.914824,132
5878.046,5938.046,-112.962939,105
5938.046,5998.046,131.557985,203
5998.046,6058.046,-71.479981,144
6058.046,6117.627,50.968991,171
