epoch,train_nll,val_nll,seconds
0,0.351500,0.457706,1.0
1,-0.073215,0.384330,2.3
2,-0.228117,0.249354,3.5
3,-0.351626,0.189915,4.5
4,-0.402003,0.157283,5.7
5,-0.440735,0.131500,6.9
6,-0.476126,0.128802,8.0
7,-0.501271,0.094894,9.1
8,-0.519700,0.078210,10.3
9,-0.535426,0.053766,11.5
10,-0.548699,0.042786,12.6
11,-0.558568,0.043143,13.7
12,-0.568177,0.028262,15.0
13,-0.577856,0.051324,16.1
14,-0.581827,0.027802,17.2
15,-0.588493,0.026126,18.4
16,-0.594342,0.023583,19.7
17,-0.599340,0.013233,20.8
18,-0.604029,0.025623,22.2
19,-0.606746,0.016879,24.0
20,-0.610206,0.017663,25.8
21,-0.613142,0.004704,27.6
22,-0.612287,0.009639,29.4
23,-0.617228,0.008541,31.2
24,-0.618714,0.004265,32.9
25,-0.621307,0.003122,34.7
26,-0.621970,-0.002548,36.5
27,-0.624846,0.002055,38.4
28,-0.625253,-0.000810,40.2
29,-0.626608,0.007743,42.1
30,-0.627323,0.008314,43.9
31,-0.628874,-0.003523,45.8
32,-0.630788,-0.000795,47.6
33,-0.630983,0.002478,49.5
34,-0.631196,-0.008779,51.3
35,-0.632329,0.002312,53.2
36,-0.635452,-0.007309,55.1
37,-0.635059,0.006855,57.0
38,-0.634602,-0.001265,58.8
39,-0.634748,-0.004510,60.6
