start,end,loglik,events
5038.046,5098.046,-78.054353,142
5098.046,5158.046,-47.963912,115
5158.046,5218.046,46.727570,170
5218.046,5278.046,21.784582,125
5278.046,5338.046,-50.662128,137
5338.046,5398.046,-20.293294,123
5398.046,5458.046,85.465608,163
5458.046,5518.046,135.403039,166
5518.046,5578.046,122.950879,186
5578.046,5638.046,-28.903527,115
5638.046,5698.046,-92.388643,97
5698.046,5758.046,-51.014028,102
5758.046,5818.046,-42.129154,120
5818.046,5878.046,20.186445,132
5878.046,5938.046,-110.918400,105
5938.046,5998.046,129.317122,203
5998.046,6058.046,-70.985948,144
6058.046,6117.627,47.904965,171
