epoch,train_nll,val_nll,seconds
0,0.304099,0.420323,32.1
1,-0.214113,0.262771,68.3
2,-0.388216,0.141604,94.8
3,-0.478151,0.100218,121.5
4,-0.525147,0.063436,154.9
5,-0.551494,0.051332,189.4
6,-0.570008,0.037187,216.7
7,-0.588795,0.059579,243.3
8,-0.603695,0.012810,278.6
9,-0.620052,0.009638,313.2
10,-0.631796,0.011920,339.6
11,-0.639480,-0.011421,366.3
12,-0.644035,0.000199,402.8
13,-0.649286,-0.002480,436.0
14,-0.652465,-0.001784,462.9
15,-0.655341,-0.002191,490.2
16,-0.653117,-0.001943,529.7
17,-0.660718,0.007444,562.4
18,-0.665895,0.011153,589.2
19,-0.665961,-0.003165,617.5
