start,end,loglik,events
5038.046,5098.046,-87.241191,142
5098.046,5158.046,-51.380061,115
5158.046,5218.046,48.975724,170
5218.046,5278.046,21.378677,125
5278.046,5338.046,-51.899509,137
5338.046,5398.046,-25.342020,123
5398.046,5458.046,86.424529,163
5458.046,5518.046,129.335460,166
5518.046,5578.046,134.182267,186
5578.046,5638.046,-32.105905,115
5638.046,5698.046,-88.660958,97
5698.046,5758.046,-50.450154,102
5758.046,5818.046,-40.847902,120
5818.046,5878.046,20.725310,132
5878.046,5938.046,-117.218326,105
5938.046,5998.046,134.393205,203
5998.046,6058.046,-73.011315,144
6058.046,6117.627,44.577590,171
