epoch,train_nll,val_nll,seconds
0,-0.648285,-0.121768,4.4
1,-1.057551,-0.228835,8.9
2,-1.148997,-0.317054,13.2
3,-1.215086,-0.353916,17.6
4,-1.272764,-0.375212,22.1
5,-1.281616,-0.389419,26.6
6,-1.286911,-0.395673,30.8
7,-1.292239,-0.394085,32.6
8,-1.291799,-0.409771,34.5
9,-1.302854,-0.405884,36.3
10,-1.295451,-0.412367,38.1
11,-1.328016,-0.405656,39.9
12,-1.327330,-0.423357,44.1
13,-1.311922,-0.408194,48.6
14,-1.332776,-0.424750,53.4
15,-1.325546,-0.421897,58.0
16,-1.325398,-0.411510,62.6
17,-1.323665,-0.427986,67.1
18,-1.335174,-0.424414,71.7
19,-1.338696,-0.433814,74.6
20,-1.320647,-0.431586,76.3
21,-1.341857,-0.429666,78.1
22,-1.344354,-0.423371,79.8
23,-1.332069,-0.433785,81.5
24,-1.330479,-0.425773,83.2
25,-1.341099,-0.431557,84.9
26,-1.349508,-0.429981,86.6
27,-1.327505,-0.430873,88.3
