start,end,loglik,events
20159.860,20219.860,-11.811315,150
20219.860,20279.860,315.516965,286
20279.860,20339.860,153.325078,239
20339.860,20399.860,270.772385,322
20399.860,20459.860,608.099604,448
20459.860,20519.860,114.183299,240
20519.860,20579.860,94.113788,219
20579.860,20639.860,15.699853,181
20639.860,20699.860,27.832902,148
20699.860,20759.860,141.710808,237
20759.860,20819.860,136.228566,160
20819.860,20879.860,48.836410,184
20879.860,20939.860,84.411296,211
20939.860,20999.860,-95.549340,93
20999.860,21059.860,-115.261351,60
21059.860,21119.860,94.913440,170
21119.860,21179.860,106.638209,200
21179.860,21239.860,361.884891,332
21239.860,21299.860,287.434520,286
21299.860,21359.860,78.043145,219
21359.860,21419.860,32.244352,190
21419.860,21479.860,65.968298,189
21479.860,21539.860,1.180452,163
21539.860,21599.860,198.870017,228
21599.860,21659.860,37.443908,132
21659.860,21719.860,119.363322,177
21719.860,21779.860,113.638819,174
21779.860,21839.860,328.473529,314
21839.860,21899.860,74.133493,195
21899.860,21959.860,129.575650,204
21959.860,22019.860,96.934484,147
22019.860,22079.860,289.130672,245
22079.860,22139.860,213.134850,188
22139.860,22199.860,-21.502388,148
22199.860,22259.860,-38.544980,120
22259.860,22319.860,-65.096886,97
22319.860,22379.860,-99.339356,131
22379.860,22439.860,496.468947,291
22439.860,22499.860,194.900205,211
22499.860,22559.860,50.444509,193
22559.860,22619.860,130.713763,156
22619.860,22679.860,-4.858535,163
22679.860,22739.860,226.047357,233
22739.860,22799.860,2.768497,163
22799.860,22859.860,105.733351,185
22859.860,22919.860,124.611202,221
22919.860,22979.860,250.483557,278
22979.860,23039.860,-52.443517,162
23039.860,23099.860,192.584972,247
23099.860,23159.860,-49.898772,132
23159.860,23219.860,4.953223,130
23219.860,23279.860,144.465803,274
23279.860,23339.860,4.391980,169
23339.860,23399.860,115.739879,202
23399.860,23459.860,-10.218698,139
23459.860,23519.860,-28.462939,119
23519.860,23579.860,-18.107635,125
23579.860,23639.860,77.805427,149
23639.860,23699.860,-43.222027,134
23699.860,23759.860,178.135691,219
23759.860,23819.860,-53.216230,120
23819.860,23879.860,50.635550,147
23879.860,23939.860,43.485027,146
23939.860,23999.860,47.208965,159
23999.860,24059.860,-49.319207,134
24059.860,24119.860,33.432443,176
24119.860,24179.860,98.602714,246
24179.860,24239.860,14.973787,174
24239.860,24299.860,-27.352481,173
24299.860,24359.860,-114.077686,93
24359.860,24419.860,132.223978,237
24419.860,24479.830,-15.348166,133
