start,end,loglik,events
21419.518,21719.518,113.385244,722
21719.518,22019.518,873.036270,1092
22019.518,22319.518,992.146894,1159
22319.518,22619.518,226.817725,782
22619.518,22919.518,-319.397932,594
22919.518,23219.518,-379.876854,507
23219.518,23519.518,532.701314,984
23519.518,23819.518,230.683350,936
23819.518,24119.518,237.180384,956
24119.518,24419.518,857.493286,1201
24419.518,24719.518,131.916276,818
24719.518,25019.518,-319.960297,712
25019.518,25319.518,119.511316,838
25319.518,25619.518,165.184359,1052
25619.518,25919.518,302.458995,1005
25919.518,26009.414,-87.740574,218
