epoch,train_nll,val_nll,seconds
0,-0.268223,-0.048412,61.3
1,-0.724234,-0.176912,120.6
2,-0.811358,-0.237550,183.6
3,-0.878291,-0.246036,249.8
4,-0.896074,-0.264682,310.7
5,-0.906502,-0.268399,373.0
6,-0.924736,-0.266232,433.7
7,-0.906429,-0.273704,496.9
8,-0.904733,-0.279526,560.2
9,-0.923410,-0.281675,624.5
10,-0.908777,-0.281248,687.0
11,-0.935518,-0.276574,750.9
12,-0.944259,-0.274583,815.2
13,-0.943452,-0.287577,881.4
14,-0.942825,-0.285888,946.8
15,-0.947166,-0.279474,1011.9
16,-0.936784,-0.286362,1080.0
17,-0.939831,-0.284284,1147.3
18,-0.950269,-0.287242,1213.3
19,-0.958258,-0.277992,1278.8
20,-0.937448,-0.282063,1346.7
21,-0.939441,-0.286466,1416.7
