start,end,loglik,events
21419.518,21479.518,-45.894334,96
21479.518,21539.518,-100.006474,67
21539.518,21599.518,119.446724,175
21599.518,21659.518,72.880149,180
21659.518,21719.518,66.375594,204
21719.518,21779.518,35.736528,165
21779.518,21839.518,216.757279,248
21839.518,21899.518,421.260520,300
21899.518,21959.518,16.815176,160
21959.518,22019.518,197.278153,219
22019.518,22079.518,189.169614,242
22079.518,22139.518,79.139531,193
22139.518,22199.518,-86.726537,113
22199.518,22259.518,383.882843,266
22259.518,22319.518,439.835112,345
22319.518,22379.518,69.615377,170
22379.518,22439.518,-48.621858,134
22439.518,22499.518,2.372860,133
22499.518,22559.518,-34.095271,122
22559.518,22619.518,235.821783,223
22619.518,22679.518,-118.851440,104
22679.518,22739.518,-129.395529,112
22739.518,22799.518,40.591840,140
22799.518,22859.518,-41.502021,132
22859.518,22919.518,-84.889032,106
22919.518,22979.518,-68.140333,127
22979.518,23039.518,-77.434478,113
23039.518,23099.518,-113.560049,68
23099.518,23159.518,-69.167759,92
23159.518,23219.518,-52.842375,107
23219.518,23279.518,-13.012020,112
23279.518,23339.518,-67.111259,133
23339.518,23399.518,129.188300,192
23399.518,23459.518,31.022423,166
23459.518,23519.518,458.641516,381
23519.518,23579.518,324.250422,336
23579.518,23639.518,51.401717,170
23639.518,23699.518,-68.344611,102
23699.518,23759.518,-75.720397,156
23759.518,23819.518,-1.715854,172
23819.518,23879.518,4.197140,187
23879.518,23939.518,129.667631,197
23939.518,23999.518,-110.198869,114
23999.518,24059.518,-49.898589,162
24059.518,24119.518,240.643776,296
24119.518,24179.518,458.830729,376
24179.518,24239.518,217.151071,239
24239.518,24299.518,-26.477384,152
24299.518,24359.518,176.016770,248
24359.518,24419.518,25.428391,186
24419.518,24479.518,5.399917,177
24479.518,24539.518,-86.244573,136
24539.518,24599.518,198.059832,207
24599.518,24659.518,53.026641,163
24659.518,24719.518,-45.566118,135
24719.518,24779.518,-76.212278,116
24779.518,24839.518,-84.165781,164
24839.518,24899.518,-25.970019,155
24899.518,24959.518,-36.480341,179
24959.518,25019.518,-113.754986,98
25019.518,25079.518,-104.149540,118
25079.518,25139.518,-128.907195,84
25139.518,25199.518,91.466611,156
25199.518,25259.518,-1.374288,216
25259.518,25319.518,254.090444,264
25319.518,25379.518,-67.066230,191
25379.518,25439.518,15.728243,215
25439.518,25499.518,81.517260,190
25499.518,25559.518,122.968978,243
25559.518,25619.518,-8.833021,213
25619.518,25679.518,16.517054,178
25679.518,25739.518,123.805583,253
25739.518,25799.518,139.490974,204
25799.518,25859.518,-70.028637,143
25859.518,25919.518,61.657919,227
25919.518,25979.518,-43.545001,143
25979.518,26009.414,-41.690793,75
